flip_angle_deg,refocusing_angle_deg,tr_ms,te_ms,bandwidth_khz,sequence_factor,max_relative_sar,mean_relative_sar,artifact_risk_proxy,snr_preservation_proxy,sar_rank_proxy,artifact_control_proxy,optimization_score
70.0,150.0,4200.0,8.0,200.0,0.45,0.00017722525808494538,7.436636224156246e-05,0.6666666666666666,0.9722222222222222,0.8874742742287289,0.6000000000000001,0.8410300900695947
90.0,110.0,3500.0,10.0,320.0,0.45,0.00018905955948866904,7.933221786515787e-05,0.5208333333333334,0.9354143466934853,0.879960305664483,0.6575342465753424,0.8409900032008986
90.0,120.0,5000.0,10.0,320.0,0.7,0.00024499621940776706,0.00010280407150276005,0.5208333333333334,0.9882117688026186,0.8444444180217753,0.6575342465753424,0.8408470803944201
70.0,110.0,5000.0,8.0,200.0,1.0,0.0001779079029802233,7.465280941687524e-05,0.6666666666666666,0.9722222222222222,0.8870408433693237,0.6000000000000001,0.8408350461828623
90.0,110.0,4200.0,10.0,320.0,0.7,0.00024507721536792815,0.00010283805022481829,0.5208333333333334,0.9882117688026186,0.8443930039113478,0.6575342465753424,0.8408239440447276
90.0,130.0,5000.0,8.0,320.0,0.7,0.0002875302452594042,0.00012065198825439438,0.41666666666666663,0.9882117688026186,0.8174382592498939,0.7058823529411765,0.840781335538532
90.0,110.0,5000.0,15.0,320.0,0.55,0.0001617509697098285,6.787311576772481e-05,0.78125,0.9882117688026186,0.8972993786180892,0.5614035087719298,0.8405991282119081
90.0,150.0,5000.0,10.0,320.0,0.45,0.0002460899413563311,0.00010326300252927467,0.5208333333333334,0.9882117688026186,0.8437499972476387,0.6575342465753424,0.8405345910460587
80.0,130.0,3500.0,8.0,200.0,0.45,0.00020863873942289501,8.7547923612874e-05,0.6666666666666666,1.0517475169954873,0.8675289022164832,0.6000000000000001,0.8403880059974175
80.0,130.0,4200.0,8.0,320.0,0.45,0.00017386561376042664,7.295660179806873e-05,0.41666666666666663,0.8784104611578832,0.8896074203486436,0.7058823529411765,0.8403170657395487
90.0,110.0,5000.0,10.0,200.0,0.55,0.0001617509697098285,6.787311576772481e-05,0.8333333333333334,1.25,0.8972993786180892,0.5454545454545454,0.8401483567417765
70.0,130.0,4200.0,10.0,200.0,0.45,0.0001331158564426005,5.585739927482791e-05,0.8333333333333334,0.9722222222222222,0.9154806796562269,0.5454545454545454,0.8399966088756051
80.0,110.0,5000.0,10.0,200.0,0.7,0.0001626586599741131,6.825399759691209e-05,0.8333333333333334,1.1111111111111112,0.896723056165699,0.5454545454545454,0.8398890116382008
70.0,150.0,5000.0,8.0,200.0,0.55,0.00018195126904174685,7.634946814505383e-05,0.6666666666666666,0.9722222222222222,0.8844735838043835,0.6000000000000001,0.8396797793786391
90.0,120.0,4200.0,8.0,320.0,0.7,0.00029166211606934667,0.00012238578347023576,0.41666666666666663,0.9882117688026186,0.8148148074751844,0.7058823529411765,0.8396007822399127
90.0,120.0,5000.0,8.0,500.0,0.45,0.0001574975613038987,6.608832336496562e-05,0.26666666666666666,0.7905694150420949,0.8999999955962218,0.7894736842105263,0.8395392435835598
90.0,110.0,4200.0,8.0,500.0,0.45,0.00015754964260850102,6.611018034163862e-05,0.26666666666666666,0.7905694150420949,0.8999669232219768,0.7894736842105263,0.8395243610151497
80.0,120.0,5000.0,12.0,200.0,0.45,0.00012444252206478268,5.22179325344041e-05,1.0,1.1111111111111112,0.920987653831679,0.5,0.8394444442242556
70.0,120.0,5000.0,12.0,200.0,0.45,9.527630027150735e-05,3.997935709776357e-05,1.0,0.9722222222222222,0.9395061686803823,0.5,0.8394444425728387
70.0,110.0,4200.0,12.0,200.0,0.45,9.530780516797677e-05,3.999257387476973e-05,1.0,0.9722222222222222,0.9394861700226539,0.5,0.8394354431768609
80.0,110.0,4200.0,12.0,200.0,0.45,0.00012448366032913327,5.223520201980136e-05,1.0,1.1111111111111112,0.9209615229128139,0.5,0.8394326853107663
80.0,130.0,4200.0,8.0,200.0,0.55,0.0002125024184351787,8.916918159229681e-05,0.6666666666666666,1.1111111111111112,0.865075733535132,0.6000000000000001,0.8392840800908093
